States/ UTs,Confirmed,Active,Recovered,Deceased
Andaman and Nicobar,33,0,33,0
Andhra Pradesh,2532,859,1621,52
Arunachal Pradesh,1,0,1,0
Assam,142,97,41,4
Bihar,1498,955,534,9
Chandigarh,200,140,57,3
Chhattisgarh,101,42,59,0
Dadra and Nagar Haveli,1,1,0,0
Daman and Diu,0,0,0,0
Delhi,10554,5636,4750,168
Goa,46,39,7,0
Gujarat,12140,6378,5043,719
Haryana,964,323,627,14
Himachal Pradesh,92,42,47,3
Jammu and Kashmir,1317,647,653,17
Jharkhand,231,101,127,3
Karnataka,1397,813,544,40
Kerala,642,141,497,4
Ladakh,43,0,43,0
Lakshadweep,0,0,0,0
Maharashtra,37136,26172,9639,1325
Manipur,9,7,2,0
Meghalaya,13,0,12,1
Mizoram,1,0,1,0
Madhya Pradesh,5465,2577,2630,258
Nagaland,0,0,0,0
Odisha,978,696,277,5
Puducherry,18,8,9,1
Punjab,2002,322,1642,38
Rajasthan,5845,2365,3337,143
Sikkim,0,0,0,0
Tamil Nadu,12448,7469,4895,84
Telengana,1634,586,1010,38
Tripura,173,57,116,0
Uttar Pradesh,4926,1885,2918,123
Uttarakhand,111,58,52,1
West Bengal,2961,1637,1074,250
